iter	F1	Logloss
0	0.4930232558	0.6024305732
1	0.5	0.5314132306
2	0.4953271028	0.4751062323
3	0.4953271028	0.4317704461
4	0.5023255814	0.4007402462
5	0.4976525822	0.3739122536
6	0.4976525822	0.353631932
7	0.4976525822	0.3380706248
8	0.4976525822	0.3237260772
9	0.4976525822	0.3137268313
10	0.4976525822	0.305498735
11	0.4976525822	0.2983851745
12	0.5	0.2941746187
13	0.5	0.2893120232
14	0.5	0.2827323446
15	0.5070422535	0.2772821894
16	0.5070422535	0.273209295
17	0.5070422535	0.2695769403
18	0.5070422535	0.2663127677
19	0.5070422535	0.2636222776
20	0.5	0.2604625966
21	0.5	0.2571447263
22	0.5	0.2536175927
23	0.5	0.2502398319
24	0.5	0.2465168914
25	0.5	0.244307398
26	0.5070422535	0.2420037806
27	0.5070422535	0.239894719
28	0.5070422535	0.2371130325
29	0.5070422535	0.2341371097
30	0.5070422535	0.2321127062
31	0.5140186916	0.230828654
32	0.5209302326	0.2290666492
33	0.5209302326	0.2269692283
34	0.5209302326	0.2241689753
35	0.5209302326	0.2225167172
36	0.5140186916	0.2209014185
37	0.5209302326	0.2186867737
38	0.5277777778	0.2172267601
39	0.5209302326	0.2145819677
40	0.5209302326	0.2132734969
41	0.5209302326	0.2115893769
42	0.5209302326	0.20948484
43	0.5209302326	0.2078170419
44	0.5209302326	0.2057932267
45	0.5412844037	0.2041319448
46	0.534562212	0.2027816059
47	0.5412844037	0.2008810265
48	0.534562212	0.1982357506
49	0.534562212	0.1969139009
50	0.534562212	0.195639719
51	0.534562212	0.1935765463
52	0.534562212	0.1917409848
53	0.5412844037	0.1902701016
54	0.5412844037	0.1886134215
55	0.534562212	0.1872325541
56	0.5545454545	0.184624602
57	0.5545454545	0.1827848136
58	0.5545454545	0.1814238341
59	0.5610859729	0.1786151902
60	0.5610859729	0.1776401414
61	0.5739910314	0.1765687719
62	0.5803571429	0.1755909557
63	0.5866666667	0.1746191924
64	0.5866666667	0.1727555969
65	0.592920354	0.1703583911
66	0.5991189427	0.1694113147
67	0.5991189427	0.1685082011
68	0.6113537118	0.1676236422
69	0.6173913043	0.1659762468
70	0.6173913043	0.1644896691
71	0.6113537118	0.1633742237
72	0.6293103448	0.1619306048
73	0.635193133	0.1608331691
74	0.641025641	0.1602746377
75	0.6582278481	0.158346422
76	0.6582278481	0.1573318773
77	0.6638655462	0.1564485821
78	0.6638655462	0.154192178
79	0.6694560669	0.1528448702
80	0.6694560669	0.1511521526
81	0.6694560669	0.1499967211
82	0.6694560669	0.1492014375
83	0.6694560669	0.1483940756
84	0.675	0.1467935213
85	0.6804979253	0.1450843776
86	0.6967213115	0.1441617586
87	0.7020408163	0.1429054979
88	0.7020408163	0.1413993461
89	0.7073170732	0.1405922222
90	0.7125506073	0.1385915394
91	0.728	0.1375497413
92	0.7330677291	0.1365517686
93	0.7330677291	0.1338502571
94	0.743083004	0.1321157663
95	0.743083004	0.130831204
96	0.743083004	0.1295740459
97	0.743083004	0.128964624
98	0.743083004	0.1278190849
99	0.7529411765	0.1269558463
100	0.7578125	0.1248331242
101	0.7578125	0.1241059389
102	0.7578125	0.1231198387
103	0.7626459144	0.1226231586
104	0.7626459144	0.1224233339
105	0.7626459144	0.1204924971
106	0.7674418605	0.1196742411
107	0.7674418605	0.1194772747
108	0.7722007722	0.1186639087
109	0.7769230769	0.1171646506
110	0.7816091954	0.1169334015
111	0.7816091954	0.1155380134
112	0.7954545455	0.1144239472
113	0.8	0.1136741109
114	0.808988764	0.112006871
115	0.8134328358	0.1113783256
116	0.8178438662	0.1095991742
117	0.8178438662	0.1085624479
118	0.8222222222	0.1076921287
119	0.8265682657	0.1073494536
120	0.8265682657	0.1066668686
121	0.8351648352	0.1060792592
122	0.8351648352	0.1050396024
123	0.8351648352	0.1045004037
124	0.8394160584	0.1031493944
125	0.8436363636	0.102178188
126	0.8436363636	0.1013143332
127	0.847826087	0.1004592342
128	0.847826087	0.0997120632
129	0.8519855596	0.09909200778
130	0.8602150538	0.09819514459
131	0.8561151079	0.09731541708
132	0.8561151079	0.09629815404
133	0.8642857143	0.09509782074
134	0.8683274021	0.09472296679
135	0.8763250883	0.09363081607
136	0.8763250883	0.0924614515
137	0.8881118881	0.09164296679
138	0.8958333333	0.09095477251
139	0.8996539792	0.09055605575
140	0.8996539792	0.09013551843
141	0.8996539792	0.08937089453
142	0.9034482759	0.08840524717
143	0.9072164948	0.08735313459
144	0.9109589041	0.08700898028
145	0.9109589041	0.08589493056
146	0.9146757679	0.08529841832
147	0.9183673469	0.08488949634
148	0.9183673469	0.08439022254
149	0.9146757679	0.08409925907
150	0.9183673469	0.08333516066
151	0.9183673469	0.08236361715
152	0.9220338983	0.08141716652
153	0.9256756757	0.0809970374
154	0.9220338983	0.08021310261
155	0.9256756757	0.07925544594
156	0.9256756757	0.07878409527
157	0.9256756757	0.07864343775
158	0.9256756757	0.07736430939
159	0.932885906	0.07654010073
160	0.9292929293	0.07611473069
161	0.932885906	0.07572060523
162	0.932885906	0.07509711061
163	0.9435215947	0.07425009874
164	0.9435215947	0.07382920162
165	0.9435215947	0.07332364206
166	0.9435215947	0.07288048927
167	0.94	0.07240818513
168	0.94	0.07226738666
169	0.9470198675	0.07161718084
170	0.9470198675	0.07120081546
171	0.9470198675	0.07077274843
172	0.9504950495	0.07032363699
173	0.9504950495	0.06966979709
174	0.9539473684	0.06889159424
175	0.9539473684	0.06847210139
176	0.9539473684	0.06818379043
177	0.9641693811	0.06766710873
178	0.9641693811	0.06722517919
179	0.9641693811	0.06713394594
180	0.9641693811	0.06634447083
181	0.9708737864	0.06567313905
182	0.9675324675	0.06515868463
183	0.9708737864	0.06451171297
184	0.9708737864	0.06406832126
185	0.9708737864	0.06369455597
186	0.9675324675	0.06328680207
187	0.9708737864	0.06301113245
188	0.9708737864	0.06267758081
189	0.9708737864	0.06216375666
190	0.9741935484	0.06110346502
191	0.9741935484	0.060609357
192	0.9741935484	0.05987766523
193	0.9741935484	0.05941071721
194	0.9741935484	0.0591963028
195	0.9708737864	0.05887593083
196	0.9708737864	0.0584497843
197	0.9774919614	0.05788352987
198	0.9774919614	0.057602232
199	0.9840255591	0.05717886097
200	0.9840255591	0.05687152428
201	0.9840255591	0.05658726906
202	0.9840255591	0.05616495609
203	0.9840255591	0.05578025598
204	0.9807692308	0.05544541074
205	0.9807692308	0.05520549642
206	0.9807692308	0.05499081225
207	0.9807692308	0.05441973157
208	0.9840255591	0.05398407782
209	0.9872611465	0.05382663667
210	0.9872611465	0.05356127209
211	0.9904761905	0.05296245401
212	0.9904761905	0.05262164284
213	0.9904761905	0.05212802538
214	0.9904761905	0.05173139638
215	0.9904761905	0.0516119125
216	0.9904761905	0.05152587832
217	0.9904761905	0.05113831041
218	0.9904761905	0.05091627248
219	0.9936708861	0.05073296189
220	0.9968454259	0.05047870884
221	0.9968454259	0.05007764074
222	0.9968454259	0.04984813358
223	0.9968454259	0.04947503747
224	0.9968454259	0.04913018088
225	0.9968454259	0.04880381524
226	0.9968454259	0.04868708283
227	0.9968454259	0.04834891798
228	0.9968454259	0.04783063912
229	0.9968454259	0.04770195147
230	0.9968454259	0.04745725051
231	0.9968454259	0.0472307606
232	1	0.04683421869
233	1	0.04661827648
234	1	0.04640418673
235	1	0.04590044749
236	1	0.04563343674
237	1	0.04532227394
238	1	0.04499091658
239	1	0.04465071394
240	1	0.04455879341
241	1	0.04433879104
242	1	0.04394658783
243	1	0.0438380159
244	1	0.04363631316
245	1	0.04329901959
246	1	0.04302789941
247	1	0.04270151133
248	1	0.04234126522
249	1	0.04212438236
250	1	0.0420286552
251	1	0.04169760009
252	1	0.04152883259
253	1	0.04124964242
254	1	0.04106754524
255	1	0.04085272277
256	1	0.04069565279
257	1	0.04046866987
258	1	0.04021497569
259	1	0.04009834556
260	1	0.03988301616
261	1	0.03963146775
262	1	0.03948991875
263	1	0.03899923113
264	1	0.03871243092
265	1	0.03867636324
266	1	0.03851537539
267	1	0.03843470968
268	1	0.0382850256
269	1	0.0380471263
270	1	0.03799699504
271	1	0.0379554173
272	1	0.03791819581
273	1	0.03769196702
274	1	0.03758345698
275	1	0.03736672127
276	1	0.03717854748
277	1	0.03708370299
278	1	0.03675267308
279	1	0.03666441809
280	1	0.03637471863
281	1	0.03627604941
282	1	0.03615912687
283	1	0.03590937784
284	1	0.03546949944
285	1	0.03527216702
286	1	0.03517705368
287	1	0.03504998595
288	1	0.03484524757
289	1	0.03479942085
290	1	0.03436084677
291	1	0.03422485712
292	1	0.03383957048
293	1	0.03361852246
294	1	0.03334887885
295	1	0.03325358253
296	1	0.03318366846
297	1	0.03293209431
298	1	0.03278727906
299	1	0.03268788885
300	1	0.03240230652
301	1	0.03226178442
302	1	0.03223665674
303	1	0.03205443668
304	1	0.03195573511
305	1	0.03183891208
306	1	0.03154703165
307	1	0.03129251281
308	1	0.03115907077
309	1	0.03113100669
310	1	0.03097603552
311	1	0.03075252253
312	1	0.03048528421
313	1	0.03035234616
314	1	0.03016647587
315	1	0.02999701147
316	1	0.02981778212
317	1	0.02972060645
318	1	0.02954629677
319	1	0.02952333752
320	1	0.02931590966
321	1	0.02891941356
322	1	0.02880044118
323	1	0.02873162497
324	1	0.02870646447
325	1	0.02859294501
326	1	0.02827617852
327	1	0.02813186912
328	1	0.02807689896
329	1	0.02804893527
330	1	0.02799884299
331	1	0.02798304963
332	1	0.02791825088
333	1	0.02771685686
334	1	0.02768110081
335	1	0.02752929264
336	1	0.02737122553
337	1	0.02720533088
338	1	0.02705610117
339	1	0.02683513443
340	1	0.026680415
341	1	0.02652406933
342	1	0.02649346453
343	1	0.02639410404
344	1	0.02632747605
345	1	0.0263047583
346	1	0.02627036616
347	1	0.02611541847
348	1	0.02599055287
349	1	0.02596341168
350	1	0.02583292014
351	1	0.02574929562
352	1	0.02572165284
353	1	0.02555886099
354	1	0.02544092403
355	1	0.02537684883
356	1	0.02519774381
357	1	0.0251318747
358	1	0.02502923847
359	1	0.02489985245
360	1	0.0247737417
361	1	0.02474711532
